Москва:
id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
138270,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-sterilizovannyh-koshek-s-kuricey.html,2169,2169,Ownat
124629,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-sterilizovannyh-koshek-bezzernovoy-s-kuricey.html,2745,2745,Ownat
119901,"N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/farmina-n-d-prime-cat-neutered-chicken-pomegranate-adult-300g.html,3349,3349,Farmina
155680,"Корм сухой для котят, беременных и кормящих кошек, с курицей, 1,5 кг (крупные гранулы)",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-sukhoy-dlya-kotyat-s-kuritsey.html,1699,1275,Grandin
110852,"Exigent Корм сухой для привередливых кошек, с ягненком, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-yagnenkom.html,1199,1199,Wellkiss
155319,"Adult Large Breed Brillant-Hairball Сухой корм для кошек крупных пород, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-krupnyh-porod-s-kuricey-1-5-kg.html,1249,1062,UNICA
110855,"Indoor Корм сухой для домашних кошек, с индейкой, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-domashnih-koshek-s-indeykoy.html,1199,1199,Wellkiss
45708,"Sterilised 37 сухой корм для стерилизованных кошек с 1 до 7 лет, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sterilised_37_suhoy_korm_dlya_sterilizovannyh_koshek.html,2419,2057,Royal Canin
112529,"Сухой корм для стерилизованных кошек, четыре вида мяса, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-chetyre-vida-myasa-s-burym-risom-400g.html,3155,3155,Grandorf
148185,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-steril-s-yagnenkom.html,4299,4299,Wellkiss
117421,"Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-sterilizovannyh-koshek-s-indeykoy.html,1695,1695,Ownat
148716,"Корм сухой для стерилизованных кошек, с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom1.html,1499,1499,Mealfeel
113385,"Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-gf-prime-dlya-sterilizovannyh-koshek-1-kg.html,1315,1315,Ownat
155684,"Sterilized Grain free Корм сухой для кастрированных котов и стерилизованных кошек в возрасте от 1 года до 7 лет, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-kuricey1.html,1699,1699,Grandin
148712,"Корм сухой для стерилизованных кошек, с лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-lososem.html,1499,1499,Mealfeel
148706,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html,1499,1499,Mealfeel
77326,"Sterilised Сухой корм для стерилизованных кошек старше 7 лет, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-royal-kanin-sterilayzd-7-pak-400-g.html,1819,1547,Royal Canin
120008,"Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html,3769,3769,Farmina
112517,"Сухой корм для домашних кошек, ягненок с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-yagnenok-s-risom-400g.html,2919,2919,Grandorf
119896,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html,3359,3359,Farmina
41900,"Sterilised сухой корм для пожилых кошек для стерилизованных с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Sterilised_suhoy_korm_dlya_koshek_starshe_7et_indeyka.html,1869,1496,PRO PLAN®
138252,"Classic Сухой корм для кошек Ежедневная забота, с курицей, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-daily-care-s-kuricey.html,825,825,Ownat
112520,"Сухой корм для стерилизованных кошек, кролик с индейкой, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-krolik-s-risom-400g.html,2919,2919,Grandorf
148698,"Корм сухой для котят, с курицей и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-kotyat-s-kuricey-i-indeykoy.html,1499,1499,Mealfeel
42570,"Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html,2515,2515,Royal Canin
148192,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-indeykoy.html,4299,4299,Wellkiss
140799,"Indoor Сухой корм для кошек, с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/indoor-suhoy-korm-dlya-koshek-s-yagnenkom.html,1699,1699,Grandin
113389,"Adult Chicken Корм сухой беззерновой для кошек, с курицей, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-koshek-bezzernovoy-s-kuricey.html,1099,1099,Ownat
146995,"Adult Sterilized Sensitive сухой корм для стерилизованных кошек с тунцом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom1.html,1179,590,UNICA
137187,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/farmina-n-d-oushen-ket-seld-i-apelsin-dlya-sterilizovannyh-koshek-i-kastrirovannyh-kotov-300g.html,3595,3236,Farmina
132686,"Sterilised Сухой корм для стерилизованных кошек с индейкой, 1,5 кг + 400г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-sterkoshaftekeaindkur-1-5kg-400g.html,1869,1869,PRO PLAN®
112514,"Сухой корм для котят, ягненок с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-kotyat-yagnenok-s-risom-400g.html,2919,2919,Grandorf
112523,"Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-belaya-ryba-s-burym-risom-400g.html,2919,2919,Grandorf
113391,"Ultra Корм для кошек, с курицей и рисом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-koshek-s-kuricey-i-risom.html,1645,1399,Ownat
